Chapter 1: र्जुनविषादयोग ,arjunavishadayoga,The Yoga of The Despondancy of Arjuna
Chapter 2: संख्यायोग ,sankhyayoga,The Yoga of Knowledge
Chapter 3, कर्मयोग ,karmayoga,The Yoga of Action
Chapter 4, ज्ञानविभगयोग ,jyanavibhagayoga,The Yoga of The Division of Wisdom
Chapter 5, कर्मसंन्यासयोग ,karmasannyasayoga,The Yoga of Renunciation of Action
Chapter 6, ध्यानयोग ,dhyanayoga,The Yoga of Meditation
Chapter 7, ज्ञानविज्ञानयोग ,gyanavigyanayoga,The Yoga of Wisdom and Realisation
Chapter 8, अक्षरब्रह्मयोग ,aksharabrahmayoga,The Yoga of The Imperishable Brahman
Chapter 9, राजविद्याराजगुह्ययोग ,rajavidyarajaguhyayoga,The Yoga of The Kingly Science and the Kingly Secret
Chapter 10, विभूतियोग ,vibhutiyoga,The Yoga of The Divine Glories
Chapter 11, विस्वरूपदर्शनयोगा  ,visvarupadarshanayoga,The Yoga of The Vision of the Cosmic Form
Chapter 12, भक्तियोग  ,bhaktiyoga,The Yoga of Devotion
Chapter 13, क्षेत्रक्षेत्रविभागयोगा ,kshetrakshetravibhagayoga,The Yoga of The Distinction Between the Field and the Knower of the Field
Chapter 14, गुणत्रयविभागयोग ,gunatrayavibhagayoga,The Yoga of The Division of the Three Gunas
Chapter 15, पुरुषोत्तमयोग ,purushottamayoga,The Yoga of The Supreme Spirit
Chapter 16, दैवासुरसम्पद्विभागयोग  ,daivasurasampadvibhagayoga,The Yoga of The Division Between the Divine and the Demoniacal
Chapter 17, श्रद्धात्रयविभागयोग  ,sraddhatrayavibhagayoga,The Yoga of The Division of the Threefold Faith
Chapter 18, मोक्षसंन्यासयोग ,mokshasannyasayoga,The Yoga of Liberation By Renunciation
